sample	experiment	run	celltype	organism	path	bait_chrom	bait_name	treatment	group	group_short	group_i	control	alleles	concentration	description
SRR6283755	Wei et al. PNAS 2018	Wei2018_Chr14	NPC	mouse	Wei2018/SRR6283755_WEI2018_result.tlx	chr14	Chr14_83Mb	APH 0.5uM	chr14	chr14	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr14
SRR6283756	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	mouse	Wei2018/SRR6283756_WEI2018_result.tlx	chr17	Chr17_41Mb	DMSO	chr17	chr17	1	T	2	0	From Wei et al. PNAS 2018; bait on chr17
SRR6283757	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	mouse	Wei2018/SRR6283757_WEI2018_result.tlx	chr17	Chr17_41Mb	DMSO	chr17	chr17	2	T	2	0	From Wei et al. PNAS 2018; bait on chr17
SRR6283758	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	mouse	Wei2018/SRR6283758_WEI2018_result.tlx	chr17	Chr17_41Mb	DMSO	chr17	chr17	3	T	2	0	From Wei et al. PNAS 2018; bait on chr17
SRR6283759	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	mouse	Wei2018/SRR6283759_WEI2018_result.tlx	chr17	Chr17_41Mb	DMSO	chr17	chr17	4	T	2	0	From Wei et al. PNAS 2018; bait on chr17
SRR6283760	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	mouse	Wei2018/SRR6283760_WEI2018_result.tlx	chr17	Chr17_41Mb	DMSO	chr17	chr17	5	T	2	0	From Wei et al. PNAS 2018; bait on chr17
SRR6283761	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	mouse	Wei2018/SRR6283761_WEI2018_result.tlx	chr17	Chr17_41Mb	DMSO	chr17	chr17	6	T	2	0	From Wei et al. PNAS 2018; bait on chr17
SRR6283762	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	mouse	Wei2018/SRR6283762_WEI2018_result.tlx	chr17	Chr17_41Mb	APH 0.5uM	chr17	chr17	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr17
SRR6283763	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	mouse	Wei2018/SRR6283763_WEI2018_result.tlx	chr17	Chr17_41Mb	APH 0.5uM	chr17	chr17	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr17
SRR6283764	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	mouse	Wei2018/SRR6283764_WEI2018_result.tlx	chr17	Chr17_41Mb	APH 0.5uM	chr17	chr17	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr17
SRR6283765	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	mouse	Wei2018/SRR6283765_WEI2018_result.tlx	chr17	Chr17_41Mb	APH 0.5uM	chr17	chr17	4	F	2	0.5	From Wei et al. PNAS 2018; bait on chr17
SRR6283766	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	mouse	Wei2018/SRR6283766_WEI2018_result.tlx	chr17	Chr17_41Mb	APH 0.5uM	chr17	chr17	5	F	2	0.5	From Wei et al. PNAS 2018; bait on chr17
SRR6283767	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	mouse	Wei2018/SRR6283767_WEI2018_result.tlx	chr17	Chr17_41Mb	APH 0.5uM	chr17	chr17	6	F	2	0.5	From Wei et al. PNAS 2018; bait on chr17
SRR6283768	Wei et al. PNAS 2018	Wei2018_Chr18	NPC	mouse	Wei2018/SRR6283768_WEI2018_result.tlx	chr18	Chr18_58Mb	DMSO	chr18	chr18	1	T	2	0	From Wei et al. PNAS 2018; bait on chr18
SRR6283769	Wei et al. PNAS 2018	Wei2018_Chr18	NPC	mouse	Wei2018/SRR6283769_WEI2018_result.tlx	chr18	Chr18_58Mb	DMSO	chr18	chr18	2	T	2	0	From Wei et al. PNAS 2018; bait on chr18
SRR6283770	Wei et al. PNAS 2018	Wei2018_Chr18	NPC	mouse	Wei2018/SRR6283770_WEI2018_result.tlx	chr18	Chr18_58Mb	DMSO	chr18	chr18	3	T	2	0	From Wei et al. PNAS 2018; bait on chr18
SRR6283771	Wei et al. PNAS 2018	Wei2018_Chr18	NPC	mouse	Wei2018/SRR6283771_WEI2018_result.tlx	chr18	Chr18_58Mb	APH 0.5uM	chr18	chr18	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr18
SRR6283772	Wei et al. PNAS 2018	Wei2018_Chr18	NPC	mouse	Wei2018/SRR6283772_WEI2018_result.tlx	chr18	Chr18_58Mb	APH 0.5uM	chr18	chr18	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr18
SRR6283773	Wei et al. PNAS 2018	Wei2018_Chr18	NPC	mouse	Wei2018/SRR6283773_WEI2018_result.tlx	chr18	Chr18_58Mb	APH 0.5uM	chr18	chr18	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr18
SRR6283774	Wei et al. PNAS 2018	Wei2018_Chr19	NPC	mouse	Wei2018/SRR6283774_WEI2018_result.tlx	chr19	Chr19_35Mb	DMSO	chr19	chr19	1	T	2	0	From Wei et al. PNAS 2018; bait on chr19
SRR6283775	Wei et al. PNAS 2018	Wei2018_Chr19	NPC	mouse	Wei2018/SRR6283775_WEI2018_result.tlx	chr19	Chr19_35Mb	DMSO	chr19	chr19	2	T	2	0	From Wei et al. PNAS 2018; bait on chr19
SRR6283776	Wei et al. PNAS 2018	Wei2018_Chr19	NPC	mouse	Wei2018/SRR6283776_WEI2018_result.tlx	chr19	Chr19_35Mb	DMSO	chr19	chr19	3	T	2	0	From Wei et al. PNAS 2018; bait on chr19
SRR6283777	Wei et al. PNAS 2018	Wei2018_Chr19	NPC	mouse	Wei2018/SRR6283777_WEI2018_result.tlx	chr19	Chr19_35Mb	APH 0.5uM	chr19	chr19	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr19
SRR6283778	Wei et al. PNAS 2018	Wei2018_Chr19	NPC	mouse	Wei2018/SRR6283778_WEI2018_result.tlx	chr19	Chr19_35Mb	APH 0.5uM	chr19	chr19	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr19
SRR6283779	Wei et al. PNAS 2018	Wei2018_Chr19	NPC	mouse	Wei2018/SRR6283779_WEI2018_result.tlx	chr19	Chr19_35Mb	APH 0.5uM	chr19	chr19	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr19
SRR6283780	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	mouse	Wei2018/SRR6283780_WEI2018_result.tlx	chrX	ChrX_96Mb	DMSO	chrX	chrX	1	T	2	0	From Wei et al. PNAS 2018; bait on chrX
SRR6283781	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	mouse	Wei2018/SRR6283781_WEI2018_result.tlx	chrX	ChrX_96Mb	DMSO	chrX	chrX	2	T	2	0	From Wei et al. PNAS 2018; bait on chrX
SRR6283782	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	mouse	Wei2018/SRR6283782_WEI2018_result.tlx	chrX	ChrX_96Mb	DMSO	chrX	chrX	3	T	2	0	From Wei et al. PNAS 2018; bait on chrX
SRR6283783	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	mouse	Wei2018/SRR6283783_WEI2018_result.tlx	chrX	ChrX_96Mb	APH 0.5uM	chrX	chrX	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chrX
SRR6283784	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	mouse	Wei2018/SRR6283784_WEI2018_result.tlx	chrX	ChrX_96Mb	APH 0.5uM	chrX	chrX	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chrX
SRR6283785	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	mouse	Wei2018/SRR6283785_WEI2018_result.tlx	chrX	ChrX_96Mb	APH 0.5uM	chrX	chrX	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chrX
SRR6283786	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	mouse	Wei2018/SRR6283786_WEI2018_result.tlx	chrX	ChrX_96Mb	DMSO	chrX	chrX	4	T	2	0	From Wei et al. PNAS 2018; bait on chrX
SRR6283787	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	mouse	Wei2018/SRR6283787_WEI2018_result.tlx	chrX	ChrX_96Mb	DMSO	chrX	chrX	5	T	2	0	From Wei et al. PNAS 2018; bait on chrX
SRR6283788	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	mouse	Wei2018/SRR6283788_WEI2018_result.tlx	chrX	ChrX_96Mb	DMSO	chrX	chrX	6	T	2	0	From Wei et al. PNAS 2018; bait on chrX
SRR6283789	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	mouse	Wei2018/SRR6283789_WEI2018_result.tlx	chrX	ChrX_96Mb	APH 0.5uM	chrX	chrX	4	F	2	0.5	From Wei et al. PNAS 2018; bait on chrX
SRR6283790	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	mouse	Wei2018/SRR6283790_WEI2018_result.tlx	chrX	ChrX_96Mb	APH 0.5uM	chrX	chrX	5	F	2	0.5	From Wei et al. PNAS 2018; bait on chrX
SRR6283791	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	mouse	Wei2018/SRR6283791_WEI2018_result.tlx	chrX	ChrX_96Mb	APH 0.5uM	chrX	chrX	6	F	2	0.5	From Wei et al. PNAS 2018; bait on chrX
SRR10733938	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733938_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	1	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733939	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733939_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	2	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733940	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733940_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	3	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733941	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733941_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	4	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733942	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733942_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	5	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733943	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733943_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	6	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733944	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733944_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	7	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733945	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733945_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	8	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733946	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733946_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	1	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733947	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733947_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	2	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733948	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733948_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	3	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733949	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733949_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	4	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733950	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733950_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	5	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733951	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733951_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	6	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733952	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733952_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	7	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733953	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733953_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	8	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733954	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10733954_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	1	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733955	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10733955_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	2	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733956	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10733956_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	3	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733957	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10733957_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	4	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733958	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10733958_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	1	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733959	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10733959_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	2	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733960	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10733960_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	3	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733961	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10733961_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	4	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733962	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10733962_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	1	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733963	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10733963_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	2	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733964	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10733964_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	3	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733965	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10733965_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	4	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733966	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10733966_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	1	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733967	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10733967_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	2	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733968	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10733968_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	3	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733969	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10733969_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	4	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733970	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10733970_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	1	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733971	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10733971_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	2	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733972	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10733972_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	3	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733973	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10733973_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	4	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733974	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10733974_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	1	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733975	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10733975_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	2	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733976	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10733976_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	3	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733977	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	mouse	Tena2018/SRR10733977_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	4	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733978	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10733978_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	1	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733979	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10733979_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	2	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733980	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10733980_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	3	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733981	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10733981_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	4	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733982	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10733982_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	1	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733983	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10733983_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	2	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733984	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10733984_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	3	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733985	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	mouse	Tena2018/SRR10733985_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	4	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733986	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10733986_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	1	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733987	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10733987_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	2	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733988	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10733988_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	3	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733989	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10733989_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	4	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733990	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10733990_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	1	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733991	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10733991_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	2	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733992	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10733992_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	3	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733993	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	mouse	Tena2018/SRR10733993_TENA2020_result.tlx	chr15	Chr15_86Mb	DMSO	chr15	chr15	4	T	2	0	From Tena et al. PNAS 2020; exp line 01
SRR10733994	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733994_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	1	F	2	0.2	From Tena et al. PNAS 2020; exp line 01
SRR10733995	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733995_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	2	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10733996	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733996_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	3	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10733997	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733997_TENA2020_result.tlx	chr7	Chr7_80Mb	APH 0.2uM	chr7	chr7	4	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10733998	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733998_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	1	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10733999	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10733999_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	2	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734000	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10734000_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	3	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734001	Tena et al., 2020	Tena2020_ESC_Chr7	ESC	mouse	Tena2018/SRR10734001_TENA2020_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	4	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734002	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10734002_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	1	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734003	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10734003_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	2	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734004	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10734004_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	3	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734005	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10734005_TENA2020_result.tlx	chr12	Chr12_13Mb	APH 0.2uM	chr12	chr12	4	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734006	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10734006_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	1	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734007	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10734007_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	2	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734008	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10734008_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	3	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734009	Tena et al., 2020	Tena2020_ESC_Chr12	ESC	mouse	Tena2018/SRR10734009_TENA2020_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	4	T	2	0	From Tena et al. PNAS 2020; exp line 02
SRR10734010	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10734010_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	1	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
SRR10734011	Tena et al., 2020	Tena2020_ESC_Chr15	ESC	mouse	Tena2018/SRR10734011_TENA2020_result.tlx	chr15	Chr15_86Mb	APH 0.2uM	chr15	chr15	2	F	2	0.2	From Tena et al. PNAS 2020; exp line 02
