sample	experiment	run	celltype	treatment	group	group_short	control	organism	path	path_original	bait_chrom	bait_name	alleles	concentration	description	study_geo	subset_detect_offtargets	subset_detect_rdc	subset_aph_concentration	subset_promoter_enhancer_deletion	subset_multiomics_examples	subset_pileups	instrument_model	platform
SRR6283759	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	DMSO	chr17	chr17	TRUE	mouse	Wei2018/SRR6283759_WEI2018_result.tlx	Wei2018/SRR6283759_WEI2018_result.tlx	chr17	Chr17_41Mb	2	0	From Wei et al. PNAS 2018; bait on chr17	GSE106822	Y	Y	N	N	N	N		
SRR6283760	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	DMSO	chr17	chr17	TRUE	mouse	Wei2018/SRR6283760_WEI2018_result.tlx	Wei2018/SRR6283760_WEI2018_result.tlx	chr17	Chr17_41Mb	2	0	From Wei et al. PNAS 2018; bait on chr17	GSE106822	Y	Y	N	N	N	N		
SRR6283761	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	DMSO	chr17	chr17	TRUE	mouse	Wei2018/SRR6283761_WEI2018_result.tlx	Wei2018/SRR6283761_WEI2018_result.tlx	chr17	Chr17_41Mb	2	0	From Wei et al. PNAS 2018; bait on chr17	GSE106822	Y	Y	N	N	N	N		
SRR6283762	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	APH 0.5uM	chr17	chr17	FALSE	mouse	Wei2018/SRR6283762_WEI2018_result.tlx	Wei2018/SRR6283762_WEI2018_result.tlx	chr17	Chr17_41Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr17	GSE106822	Y	Y	N	N	Y	Y		
SRR6283763	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	APH 0.5uM	chr17	chr17	FALSE	mouse	Wei2018/SRR6283763_WEI2018_result.tlx	Wei2018/SRR6283763_WEI2018_result.tlx	chr17	Chr17_41Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr17	GSE106822	Y	Y	N	N	Y	Y		
SRR6283764	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	APH 0.5uM	chr17	chr17	FALSE	mouse	Wei2018/SRR6283764_WEI2018_result.tlx	Wei2018/SRR6283764_WEI2018_result.tlx	chr17	Chr17_41Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr17	GSE106822	Y	Y	N	N	Y	Y		
SRR6283765	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	APH 0.5uM	chr17	chr17	FALSE	mouse	Wei2018/SRR6283765_WEI2018_result.tlx	Wei2018/SRR6283765_WEI2018_result.tlx	chr17	Chr17_41Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr17	GSE106822	Y	Y	N	N	Y	Y		
SRR6283766	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	APH 0.5uM	chr17	chr17	FALSE	mouse	Wei2018/SRR6283766_WEI2018_result.tlx	Wei2018/SRR6283766_WEI2018_result.tlx	chr17	Chr17_41Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr17	GSE106822	Y	Y	N	N	Y	Y		
SRR6283767	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	APH 0.5uM	chr17	chr17	FALSE	mouse	Wei2018/SRR6283767_WEI2018_result.tlx	Wei2018/SRR6283767_WEI2018_result.tlx	chr17	Chr17_41Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr17	GSE106822	Y	Y	N	N	Y	Y		
SRR6283768	Wei et al. PNAS 2018	Wei2018_Chr18	NPC	DMSO	chr18	chr18	TRUE	mouse	Wei2018/SRR6283768_WEI2018_result.tlx	Wei2018/SRR6283768_WEI2018_result.tlx	chr18	Chr18_58Mb	2	0	From Wei et al. PNAS 2018; bait on chr18	GSE106822	Y	Y	N	N	N	N		
SRR6283769	Wei et al. PNAS 2018	Wei2018_Chr18	NPC	DMSO	chr18	chr18	TRUE	mouse	Wei2018/SRR6283769_WEI2018_result.tlx	Wei2018/SRR6283769_WEI2018_result.tlx	chr18	Chr18_58Mb	2	0	From Wei et al. PNAS 2018; bait on chr18	GSE106822	Y	Y	N	N	N	N		
SRR6283770	Wei et al. PNAS 2018	Wei2018_Chr18	NPC	DMSO	chr18	chr18	TRUE	mouse	Wei2018/SRR6283770_WEI2018_result.tlx	Wei2018/SRR6283770_WEI2018_result.tlx	chr18	Chr18_58Mb	2	0	From Wei et al. PNAS 2018; bait on chr18	GSE106822	Y	Y	N	N	N	N		
SRR6283771	Wei et al. PNAS 2018	Wei2018_Chr18	NPC	APH 0.5uM	chr18	chr18	FALSE	mouse	Wei2018/SRR6283771_WEI2018_result.tlx	Wei2018/SRR6283771_WEI2018_result.tlx	chr18	Chr18_58Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr18	GSE106822	Y	Y	N	N	Y	Y		
SRR6283772	Wei et al. PNAS 2018	Wei2018_Chr18	NPC	APH 0.5uM	chr18	chr18	FALSE	mouse	Wei2018/SRR6283772_WEI2018_result.tlx	Wei2018/SRR6283772_WEI2018_result.tlx	chr18	Chr18_58Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr18	GSE106822	Y	Y	N	N	Y	Y		
SRR6283773	Wei et al. PNAS 2018	Wei2018_Chr18	NPC	APH 0.5uM	chr18	chr18	FALSE	mouse	Wei2018/SRR6283773_WEI2018_result.tlx	Wei2018/SRR6283773_WEI2018_result.tlx	chr18	Chr18_58Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr18	GSE106822	Y	Y	N	N	Y	Y		
SRR6283774	Wei et al. PNAS 2018	Wei2018_Chr19	NPC	DMSO	chr19	chr19	TRUE	mouse	Wei2018/SRR6283774_WEI2018_result.tlx	Wei2018/SRR6283774_WEI2018_result.tlx	chr19	Chr19_35Mb	2	0	From Wei et al. PNAS 2018; bait on chr19	GSE106822	Y	Y	N	N	N	N		
SRR6283775	Wei et al. PNAS 2018	Wei2018_Chr19	NPC	DMSO	chr19	chr19	TRUE	mouse	Wei2018/SRR6283775_WEI2018_result.tlx	Wei2018/SRR6283775_WEI2018_result.tlx	chr19	Chr19_35Mb	2	0	From Wei et al. PNAS 2018; bait on chr19	GSE106822	Y	Y	N	N	N	N		
SRR6283776	Wei et al. PNAS 2018	Wei2018_Chr19	NPC	DMSO	chr19	chr19	TRUE	mouse	Wei2018/SRR6283776_WEI2018_result.tlx	Wei2018/SRR6283776_WEI2018_result.tlx	chr19	Chr19_35Mb	2	0	From Wei et al. PNAS 2018; bait on chr19	GSE106822	Y	Y	N	N	N	N		
SRR6283777	Wei et al. PNAS 2018	Wei2018_Chr19	NPC	APH 0.5uM	chr19	chr19	FALSE	mouse	Wei2018/SRR6283777_WEI2018_result.tlx	Wei2018/SRR6283777_WEI2018_result.tlx	chr19	Chr19_35Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr19	GSE106822	Y	Y	N	N	Y	Y		
SRR6283778	Wei et al. PNAS 2018	Wei2018_Chr19	NPC	APH 0.5uM	chr19	chr19	FALSE	mouse	Wei2018/SRR6283778_WEI2018_result.tlx	Wei2018/SRR6283778_WEI2018_result.tlx	chr19	Chr19_35Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr19	GSE106822	Y	Y	N	N	Y	Y		
SRR6283779	Wei et al. PNAS 2018	Wei2018_Chr19	NPC	APH 0.5uM	chr19	chr19	FALSE	mouse	Wei2018/SRR6283779_WEI2018_result.tlx	Wei2018/SRR6283779_WEI2018_result.tlx	chr19	Chr19_35Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr19	GSE106822	Y	Y	N	N	Y	Y		
SRR6283780	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	DMSO	chrX	chrX	TRUE	mouse	Wei2018/SRR6283780_WEI2018_result.tlx	Wei2018/SRR6283780_WEI2018_result.tlx	chrX	ChrX_96Mb	2	0	From Wei et al. PNAS 2018; bait on chrX	GSE106822	Y	Y	N	N	N	N		
SRR6283781	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	DMSO	chrX	chrX	TRUE	mouse	Wei2018/SRR6283781_WEI2018_result.tlx	Wei2018/SRR6283781_WEI2018_result.tlx	chrX	ChrX_96Mb	2	0	From Wei et al. PNAS 2018; bait on chrX	GSE106822	Y	Y	N	N	N	N		
SRR6283782	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	DMSO	chrX	chrX	TRUE	mouse	Wei2018/SRR6283782_WEI2018_result.tlx	Wei2018/SRR6283782_WEI2018_result.tlx	chrX	ChrX_96Mb	2	0	From Wei et al. PNAS 2018; bait on chrX	GSE106822	Y	Y	N	N	N	N		
SRR6283783	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	APH 0.5uM	chrX	chrX	FALSE	mouse	Wei2018/SRR6283783_WEI2018_result.tlx	Wei2018/SRR6283783_WEI2018_result.tlx	chrX	ChrX_96Mb	2	0.5	From Wei et al. PNAS 2018; bait on chrX	GSE106822	Y	Y	N	N	Y	Y		
SRR6283784	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	APH 0.5uM	chrX	chrX	FALSE	mouse	Wei2018/SRR6283784_WEI2018_result.tlx	Wei2018/SRR6283784_WEI2018_result.tlx	chrX	ChrX_96Mb	2	0.5	From Wei et al. PNAS 2018; bait on chrX	GSE106822	Y	Y	N	N	Y	Y		
SRR6283785	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	APH 0.5uM	chrX	chrX	FALSE	mouse	Wei2018/SRR6283785_WEI2018_result.tlx	Wei2018/SRR6283785_WEI2018_result.tlx	chrX	ChrX_96Mb	2	0.5	From Wei et al. PNAS 2018; bait on chrX	GSE106822	Y	Y	N	N	Y	Y		
SRR6283786	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	DMSO	chrX	chrX	TRUE	mouse	Wei2018/SRR6283786_WEI2018_result.tlx	Wei2018/SRR6283786_WEI2018_result.tlx	chrX	ChrX_96Mb	2	0	From Wei et al. PNAS 2018; bait on chrX	GSE106822	Y	Y	N	N	N	N		
SRR6283787	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	DMSO	chrX	chrX	TRUE	mouse	Wei2018/SRR6283787_WEI2018_result.tlx	Wei2018/SRR6283787_WEI2018_result.tlx	chrX	ChrX_96Mb	2	0	From Wei et al. PNAS 2018; bait on chrX	GSE106822	Y	Y	N	N	N	N		
SRR6283788	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	DMSO	chrX	chrX	TRUE	mouse	Wei2018/SRR6283788_WEI2018_result.tlx	Wei2018/SRR6283788_WEI2018_result.tlx	chrX	ChrX_96Mb	2	0	From Wei et al. PNAS 2018; bait on chrX	GSE106822	Y	Y	N	N	N	N		
SRR6283789	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	APH 0.5uM	chrX	chrX	FALSE	mouse	Wei2018/SRR6283789_WEI2018_result.tlx	Wei2018/SRR6283789_WEI2018_result.tlx	chrX	ChrX_96Mb	2	0.5	From Wei et al. PNAS 2018; bait on chrX	GSE106822	Y	Y	N	N	Y	Y		
SRR6283790	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	APH 0.5uM	chrX	chrX	FALSE	mouse	Wei2018/SRR6283790_WEI2018_result.tlx	Wei2018/SRR6283790_WEI2018_result.tlx	chrX	ChrX_96Mb	2	0.5	From Wei et al. PNAS 2018; bait on chrX	GSE106822	Y	Y	N	N	Y	Y		
SRR6283791	Wei et al. PNAS 2018	Wei2018_ChrX	NPC	APH 0.5uM	chrX	chrX	FALSE	mouse	Wei2018/SRR6283791_WEI2018_result.tlx	Wei2018/SRR6283791_WEI2018_result.tlx	chrX	ChrX_96Mb	2	0.5	From Wei et al. PNAS 2018; bait on chrX	GSE106822	Y	Y	N	N	Y	Y		
SRR10733970	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	APH 0.2uM	chr7	chr7	FALSE	mouse	Tena2018/SRR10733970_TENA2020_result.tlx	Tena2018/SRR10733970_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0.2	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	Y	Y		
SRR10733971	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	APH 0.2uM	chr7	chr7	FALSE	mouse	Tena2018/SRR10733971_TENA2020_result.tlx	Tena2018/SRR10733971_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0.2	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	Y	Y		
SRR10733973	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	APH 0.2uM	chr7	chr7	FALSE	mouse	Tena2018/SRR10733973_TENA2020_result.tlx	Tena2018/SRR10733973_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0.2	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	Y	Y		
SRR10733974	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	DMSO	chr7	chr7	TRUE	mouse	Tena2018/SRR10733974_TENA2020_result.tlx	Tena2018/SRR10733974_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	N	N		
SRR10733975	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	DMSO	chr7	chr7	TRUE	mouse	Tena2018/SRR10733975_TENA2020_result.tlx	Tena2018/SRR10733975_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	N	N		
SRR10733976	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	DMSO	chr7	chr7	TRUE	mouse	Tena2018/SRR10733976_TENA2020_result.tlx	Tena2018/SRR10733976_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	N	N		
SRR10733977	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	DMSO	chr7	chr7	TRUE	mouse	Tena2018/SRR10733977_TENA2020_result.tlx	Tena2018/SRR10733977_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	N	N		
SRR10733978	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	APH 0.2uM	chr12	chr12	FALSE	mouse	Tena2018/SRR10733978_TENA2020_result.tlx	Tena2018/SRR10733978_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0.2	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	Y	Y		
SRR10733981	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	APH 0.2uM	chr12	chr12	FALSE	mouse	Tena2018/SRR10733981_TENA2020_result.tlx	Tena2018/SRR10733981_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0.2	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	Y	Y		
SRR10733982	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	DMSO	chr12	chr12	TRUE	mouse	Tena2018/SRR10733982_TENA2020_result.tlx	Tena2018/SRR10733982_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	N	N		
SRR10733983	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	DMSO	chr12	chr12	TRUE	mouse	Tena2018/SRR10733983_TENA2020_result.tlx	Tena2018/SRR10733983_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	N	N		
SRR10733984	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	DMSO	chr12	chr12	TRUE	mouse	Tena2018/SRR10733984_TENA2020_result.tlx	Tena2018/SRR10733984_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	N	N		
SRR10733985	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	DMSO	chr12	chr12	TRUE	mouse	Tena2018/SRR10733985_TENA2020_result.tlx	Tena2018/SRR10733985_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	N	N		
SRR10733986	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	APH 0.2uM	chr15	chr15	FALSE	mouse	Tena2018/SRR10733986_TENA2020_result.tlx	Tena2018/SRR10733986_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0.2	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	Y	Y		
SRR10733987	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	APH 0.2uM	chr15	chr15	FALSE	mouse	Tena2018/SRR10733987_TENA2020_result.tlx	Tena2018/SRR10733987_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0.2	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	Y	Y		
SRR10733988	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	APH 0.2uM	chr15	chr15	FALSE	mouse	Tena2018/SRR10733988_TENA2020_result.tlx	Tena2018/SRR10733988_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0.2	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	Y	Y		
SRR10733989	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	APH 0.2uM	chr15	chr15	FALSE	mouse	Tena2018/SRR10733989_TENA2020_result.tlx	Tena2018/SRR10733989_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0.2	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	Y	Y		
SRR10733990	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	DMSO	chr15	chr15	TRUE	mouse	Tena2018/SRR10733990_TENA2020_result.tlx	Tena2018/SRR10733990_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	N	N		
SRR10733991	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	DMSO	chr15	chr15	TRUE	mouse	Tena2018/SRR10733991_TENA2020_result.tlx	Tena2018/SRR10733991_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	N	N		
SRR10733992	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	DMSO	chr15	chr15	TRUE	mouse	Tena2018/SRR10733992_TENA2020_result.tlx	Tena2018/SRR10733992_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	N	N		
SRR10733993	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	DMSO	chr15	chr15	TRUE	mouse	Tena2018/SRR10733993_TENA2020_result.tlx	Tena2018/SRR10733993_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0	From Tena et al. PNAS 2020; exp line 01	GSE142315	Y	Y	N	N	N	N		
SRR10734018	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	APH 0.2uM	chr7	chr7	FALSE	mouse	Tena2018/SRR10734018_TENA2020_result.tlx	Tena2018/SRR10734018_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0.2	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	Y	Y		
SRR10734020	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	APH 0.2uM	chr7	chr7	FALSE	mouse	Tena2018/SRR10734020_TENA2020_result.tlx	Tena2018/SRR10734020_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0.2	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	Y	Y		
SRR10734021	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	APH 0.2uM	chr7	chr7	FALSE	mouse	Tena2018/SRR10734021_TENA2020_result.tlx	Tena2018/SRR10734021_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0.2	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	Y	Y		
SRR10734022	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	DMSO	chr7	chr7	TRUE	mouse	Tena2018/SRR10734022_TENA2020_result.tlx	Tena2018/SRR10734022_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	N	N		
SRR10734023	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	DMSO	chr7	chr7	TRUE	mouse	Tena2018/SRR10734023_TENA2020_result.tlx	Tena2018/SRR10734023_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	N	N		
SRR10734024	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	DMSO	chr7	chr7	TRUE	mouse	Tena2018/SRR10734024_TENA2020_result.tlx	Tena2018/SRR10734024_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	N	N		
SRR10734025	Tena et al., 2020	Tena2020_ESC-NPC_Chr7	NPC	DMSO	chr7	chr7	TRUE	mouse	Tena2018/SRR10734025_TENA2020_result.tlx	Tena2018/SRR10734025_TENA2020_result.tlx	chr7	Chr7_80Mb	2	0	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	N	N		
SRR10734026	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	APH 0.2uM	chr12	chr12	FALSE	mouse	Tena2018/SRR10734026_TENA2020_result.tlx	Tena2018/SRR10734026_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0.2	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	Y	Y		
SRR10734027	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	APH 0.2uM	chr12	chr12	FALSE	mouse	Tena2018/SRR10734027_TENA2020_result.tlx	Tena2018/SRR10734027_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0.2	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	Y	Y		
SRR10734028	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	APH 0.2uM	chr12	chr12	FALSE	mouse	Tena2018/SRR10734028_TENA2020_result.tlx	Tena2018/SRR10734028_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0.2	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	Y	Y		
SRR10734029	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	APH 0.2uM	chr12	chr12	FALSE	mouse	Tena2018/SRR10734029_TENA2020_result.tlx	Tena2018/SRR10734029_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0.2	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	Y	Y		
SRR10734030	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	DMSO	chr12	chr12	TRUE	mouse	Tena2018/SRR10734030_TENA2020_result.tlx	Tena2018/SRR10734030_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	N	N		
SRR10734031	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	DMSO	chr12	chr12	TRUE	mouse	Tena2018/SRR10734031_TENA2020_result.tlx	Tena2018/SRR10734031_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	N	N		
SRR10734032	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	DMSO	chr12	chr12	TRUE	mouse	Tena2018/SRR10734032_TENA2020_result.tlx	Tena2018/SRR10734032_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	N	N		
SRR10734033	Tena et al., 2020	Tena2020_ESC-NPC_Chr12	NPC	DMSO	chr12	chr12	TRUE	mouse	Tena2018/SRR10734033_TENA2020_result.tlx	Tena2018/SRR10734033_TENA2020_result.tlx	chr12	Chr12_13Mb	2	0	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	N	N		
SRR10734034	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	APH 0.2uM	chr15	chr15	FALSE	mouse	Tena2018/SRR10734034_TENA2020_result.tlx	Tena2018/SRR10734034_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0.2	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	Y	Y		
SRR10734035	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	APH 0.2uM	chr15	chr15	FALSE	mouse	Tena2018/SRR10734035_TENA2020_result.tlx	Tena2018/SRR10734035_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0.2	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	Y	Y		
SRR10734036	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	APH 0.2uM	chr15	chr15	FALSE	mouse	Tena2018/SRR10734036_TENA2020_result.tlx	Tena2018/SRR10734036_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0.2	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	Y	Y		
SRR10734037	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	APH 0.2uM	chr15	chr15	FALSE	mouse	Tena2018/SRR10734037_TENA2020_result.tlx	Tena2018/SRR10734037_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0.2	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	Y	Y		
SRR10734038	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	DMSO	chr15	chr15	TRUE	mouse	Tena2018/SRR10734038_TENA2020_result.tlx	Tena2018/SRR10734038_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	N	N		
SRR10734039	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	DMSO	chr15	chr15	TRUE	mouse	Tena2018/SRR10734039_TENA2020_result.tlx	Tena2018/SRR10734039_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	N	N		
SRR10734041	Tena et al., 2020	Tena2020_ESC-NPC_Chr15	NPC	DMSO	chr15	chr15	TRUE	mouse	Tena2018/SRR10734041_TENA2020_result.tlx	Tena2018/SRR10734041_TENA2020_result.tlx	chr15	Chr15_86Mb	2	0	From Tena et al. PNAS 2020; exp line 02	GSE142315	Y	Y	N	N	N	N		
PW103	APH concentration	B400_017	NPC	DMSO	DMSO	DMSO	TRUE	mouse	Chr8_61Mb_DMSO_replicate_1.tlx	APH_concentration/PW103_B400_017_result.tlx	chr8	Chr8_61Mb	2	0	ESC-NPC;NXP010; DMSO	This study	Y	Y	Y	N	N	N	Illumina MISEQ V2 250PE	ILLUMINA
PW104	APH concentration	B400_017	NPC	APH 0.2 uM 96h	APH 0.2 uM 96h	APH 0.2	FALSE	mouse	Chr8_61Mb_APH02_replicate_1.tlx	APH_concentration/PW104_B400_017_result.tlx	chr8	Chr8_61Mb	2	0.2	ESC-NPC;NXP010; Aphidicolin 0.2 uM 96h	This study	Y	N	Y	N	N	N	Illumina MISEQ V2 250PE	ILLUMINA
PW105	APH concentration	B400_017	NPC	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4	FALSE	mouse	Chr8_61Mb_APH04_replicate_1.tlx	APH_concentration/PW105_B400_017_result.tlx	chr8	Chr8_61Mb	2	0.4	ESC-NPC;NXP010; Aphidicolin 0.4 uM 96h	This study	Y	Y	Y	N	Y	Y	Illumina MISEQ V2 250PE	ILLUMINA
